Time	Iteration	AverageReward	reward 0:	reward 1:	reward 2:	reward 3:	reward 4:	reward 5:	reward 6:	reward 7:	reward 8:	timesteps
216.60102701187134	10	-1284.7681254007953	-182.2392691416581	-1830.9229701389502	-1693.2784022463436	-182.2392691416581	-2458.9482408215667	-1533.294977242384	-182.2392691416581	-1659.8246959188489	-1839.9260348140901	25920
312.5232741832733	20	-1216.0481600912874	-0.7369136677101322	-3128.9692942864817	-1471.990518473463	-0.7369136677101322	-2298.737621989699	-2138.4306721179028	-0.7369136677101322	-928.9299021057675	-975.1646908451412	51840
406.50427079200745	30	-1151.1672720903612	-6.307554478723895e-12	-1229.129323006965	-2812.5	-6.307554478723895e-12	-2149.0862654999864	-2213.7426798137185	-6.307554478723895e-12	-1019.0986527173038	-936.9485277752575	77760
499.0741505622864	40	-408.4708163539615	0.0	-278.3109675186688	-1661.6488286179479	0.0	-1407.1201140325984	-231.3575550917987	0.0	-70.14000255979015	-27.659879364849637	103680
592.7134935855865	50	-462.3446926575634	0.0	-281.8569163770247	-817.5000108987032	0.0	-1509.017997433361	-1404.4130136016877	0.0	-70.13655169560015	-78.1777439116942	129600
687.1707165241241	60	-372.0027121689812	0.0	-760.0657854723728	-793.5	0.0	-784.5000000000001	-796.5	0.0	-70.13998359685027	-143.3186404516076	155520
781.7043299674988	70	-477.5937031639355	0.0	-397.54462458759576	-1573.1344861766838	0.0	-1184.4897774145988	-928.5000000000001	0.0	-70.36949487820695	-144.3049454183344	181440
876.8125393390656	80	-209.12593495057726	0.0	-648.2362029748066	-622.9866651458611	0.0	-97.67921765343596	-320.94890186351654	0.0	-48.9637865352263	-143.31864038234892	207360
971.9202835559845	90	-207.9752966845968	0.0	-545.1687133892004	-596.1953614148582	0.0	-236.0522673070909	-244.8000000045717	0.0	-98.18158956121033	-151.37973848443963	233280
1066.7655017375946	100	-197.5321691972221	0.0	-526.4038063936272	-601.5	0.0	-97.92033305734809	-385.0800141250249	0.0	-48.96000029494775	-117.925368904051	259200
1161.6555082798004	110	-147.7862988858161	0.0	-448.620000084084	-501.83586252805645	0.0	-110.60218684092969	-146.8800000017438	0.0	-48.959999999991574	-73.17864051753935	285120
1256.4592304229736	120	-157.8159483620264	0.0	-500.5753388774034	-553.1345704120143	0.0	-97.61364862469023	-146.88916358373956	0.0	-1.1345727557454665e-08	-122.13081374904445	311040
1351.355324268341	130	-140.93417938387807	0.0	-399.6331351063842	-501.8358759492077	0.0	-146.87999716454925	-146.8799657172221	0.0	0.0	-73.17864051753935	336960
1474.146966457367	140	-142.5490045390582	0.0	-403.52671583789413	-512.4742651307124	0.0	-146.88141936474514	-146.8799999999935	0.0	-6.389471868262221e-10	-73.17864051753953	362880
1569.480417251587	150	-136.71601104514616	0.0	-403.3599719839989	-506.81627209240025	0.0	-132.47032689072466	-114.61888792041864	0.0	0.0	-73.1786405187731	388800
