Time	Iteration	AverageReward	reward 0:	reward 1:	reward 2:	reward 3:	reward 4:	reward 5:	reward 6:	reward 7:	reward 8:	timesteps
222.7107744216919	10	-229.41357929949737	0.0	-477.9030826303768	-979.5424648769352	0.0	-168.11439768318203	-172.76971146058366	0.0	-119.09264748935792	-147.2999095550408	25920
316.52872943878174	20	-360.9600513307199	0.0	-976.5000000436995	-982.5000000483742	0.0	-97.92398019936289	-952.5000000557052	0.0	-97.91991559041108	-141.2965660389266	51840
410.5612666606903	30	-263.6816569999894	0.0	-973.5000000001879	-984.5523534404988	0.0	-97.92000000010816	-97.92000024331996	0.0	-97.44445717071164	-121.79810214507837	77760
504.8389024734497	40	-257.7708756542228	0.0	-973.5	-979.5000000000001	0.0	-97.92000000734701	-97.92000461784542	0.0	-97.91920329789554	-73.17867296491693	103680
598.9075770378113	50	-252.9591013663884	0.0	-973.5000000001658	-985.1115798478497	0.0	-97.92000000553077	-97.92000491474252	0.0	-49.0016870116676	-73.17864051753936	129600
693.1342091560364	60	-253.9657113779137	0.0	-973.5474824455379	-993.2179900734857	0.0	-97.92000000111155	-97.9200005398793	0.0	-49.90727755555561	-73.17865178565314	155520
787.405163526535	70	-253.52817036432413	0.0	-973.55598999588	-990.2189020198222	0.0	-97.92000000019223	-97.92000024364572	0.0	-48.96000050183755	-73.17864051753935	181440
881.6546132564545	80	-253.85509561704788	0.0	-973.5	-993.217219950026	0.0	-97.92000000045104	-97.92000000464193	0.0	-48.95999999999894	-73.17864059831302	207360
975.8082273006439	90	-251.89032691012642	0.0	-973.5000000000003	-993.2188529724455	0.0	-97.92000000000887	-97.92000000001275	0.0	-31.275448701122244	-73.17864051754799	233280
1069.7547657489777	100	-249.0850832577034	0.0	-979.5000000000067	-976.5000000000103	0.0	-97.92000000002427	-97.92000000413603	0.0	-16.747108797613897	-73.17864051753935	259200
1163.7858717441559	110	-248.4192170235485	0.0	-973.5354127958358	-993.21886343625	0.0	-97.92000280086111	-97.92000332379698	0.0	-3.033765075755035e-05	-73.17864051754184	285120
1257.677621603012	120	-247.22432935976653	0.0	-976.5000000000027	-979.5000000000038	0.0	-97.92000000422998	-97.9200045537842	0.0	-0.00031916233863902297	-73.17864051753935	311040
1352.3162052631378	130	-247.22430597775735	0.0	-973.5000000000001	-982.5000000000001	0.0	-97.92000342825406	-97.9200105503179	0.0	-9.930370235711196e-05	-73.17864051754154	336960
1446.7649068832397	140	-247.2302300682879	0.0	-973.5533765689531	-982.5	0.0	-97.92002181040947	-97.92003171767244	0.0	-1.5491607996409588e-11	-73.17864051754074	362880
1541.3252913951874	150	-247.2306487569548	0.0	-973.5571007224092	-982.5	0.0	-97.92003449672046	-97.9200630758976	0.0	-1.7285373132835956e-11	-73.17864051754849	388800
1635.6105856895447	160	-247.22429554037376	0.0	-973.5000000000093	-982.5000000000131	0.0	-97.92000895323976	-97.92001038665154	0.0	-5.896948529482416e-09	-73.17864051755309	414720
1730.0172419548035	170	-247.23043456282664	0.0	-973.5551922790546	-982.500000000013	0.0	-97.92003618334219	-97.92004208544374	0.0	-2.0383694732117877e-14	-73.17864051758619	440640
1824.295389175415	180	-247.2242968901605	0.0	-973.5000000759348	-982.5000001125541	0.0	-97.92001444261643	-97.92001686279265	0.0	0.0	-73.17864051754658	466560
1918.8303172588348	190	-247.22429441918734	0.0	-973.5000000026102	-982.5000000038148	0.0	-97.92000440645687	-97.92000484223931	0.0	-1.3589129821411917e-14	-73.17864051756492	492480
2013.243912935257	200	-247.22429751093674	0.0	-973.5000000000172	-982.5000000000247	0.0	-97.92001697441988	-97.92002010634371	0.0	-1.3589129821411917e-14	-73.17864051762528	518400
2107.167637348175	210	-247.22429591340324	0.0	-973.5000000988802	-982.5000001360291	0.0	-97.92000723136557	-97.92001523679306	0.0	-3.397282455352979e-14	-73.17864051756112	544320
2201.3619747161865	220	-247.21181084309669	0.0	-973.500000000674	-982.5000000009273	0.0	-97.92002273012338	-97.92004903314196	0.0	-3.397282455352979e-14	-73.06622582300339	570240
2295.369417667389	230	-241.79067120654628	0.0	-973.5573612965186	-982.5000000021566	0.0	-97.92003928740007	-97.91999605208045	0.0	-9.308553927667162e-12	-24.218644220751568	596160
2389.902597427368	240	-241.45733731299376	0.0	-973.5573636962185	-979.5000000194398	0.0	-97.92001234912782	-97.92001904968419	0.0	-3.7868427193998853e-08	-24.21864066460505	622080
2484.3637471199036	250	-241.45733682822993	0.0	-973.5573636899643	-979.5000000026631	0.0	-97.9200101067439	-97.92001713715456	0.0	-1.4336531961589572e-12	-24.21864051754195	648000
2585.542920589447	260	-241.45745768006316	0.0	-973.5573620201535	-979.5000000000124	0.0	-97.92051692589256	-97.92059965598872	0.0	-9.722342930729155e-10	-24.218640517549066	673920
2679.994476079941	270	-241.45735522531322	0.0	-973.557361530814	-979.5000000473453	0.0	-97.92009307159887	-97.92010185766753	0.0	-2.7913295674864004e-09	-24.218640517601933	699840
2773.99769282341	280	-241.4573390028991	0.0	-973.5573640584096	-979.5000004960307	0.0	-97.92002168697493	-97.92002426710356	0.0	-3.3191449588798605e-11	-24.21864051753987	725760
2868.309440135956	290	-241.45734134775512	0.0	-973.5573637167051	-979.5000000365036	0.0	-97.92003240401499	-97.92003545483622	0.0	-1.9170185439065793e-10	-24.218640517544294	751680
