Time	Iteration	AverageReward	reward 0:	reward 1:	reward 2:	reward 3:	reward 4:	reward 5:	reward 6:	reward 7:	reward 8:	timesteps
207.7717146873474	10	-2288.1666666666665	-1705.5	-2587.5	-2542.5	-1705.5	-2608.5	-2542.5	-1705.5	-2575.5	-2620.5	25920
337.3917832374573	20	-1949.665588645416	-1624.5	-2482.4999999999995	-1906.5933952576197	-1624.5	-1693.7922480590423	-1883.3460270165997	-1624.5	-2440.5	-2266.7586274754826	51840
464.7054715156555	30	-1582.027529338902	-637.3117047811766	-1448.7027257203422	-2657.8332432432526	-637.3117047811766	-2635.3371453985183	-2650.052139862719	-637.3117047811766	-1445.7000063358864	-1488.687389145871	77760
584.8660182952881	40	-1380.45179412971	-410.12130265228654	-1454.6638652600384	-2507.080567170121	-410.12130265228654	-2482.4997571421154	-2398.110856653443	-410.12130265228654	-1045.7495969511249	-1305.5975960336864	103680
705.6863923072815	50	-1231.2488070367847	-347.42825939529143	-1259.4064205953562	-1306.8675414349702	-347.42825939529143	-2443.185062235394	-2543.0794043789156	-347.42825939529143	-1252.759881895549	-1233.6561746050031	129600
826.6716620922089	60	-946.3764972213384	-252.73049568003	-1271.7430087242299	-1449.1093296789045	-252.73049568003	-1271.6802038748226	-1340.7460581314388	-252.73049568003	-1217.6044515194442	-1208.3139360231148	155520
949.7936120033264	70	-956.3111726712071	-329.517467139358	-1323.5778381930195	-1334.885040831	-329.517467139358	-1252.1586958006797	-1235.6412349572372	-329.517467139358	-1267.7704635875336	-1204.21487925332	181440
1071.9201436042786	80	-946.8959400104377	-263.92766493618154	-1341.6289969980342	-1383.3337618914138	-263.92766493618154	-1211.9360750051592	-1321.1454504723417	-263.92766493618154	-1196.16095668416	-1276.0752242342858	207360
1193.5818955898285	90	-930.9185510400215	-259.9026179374588	-1308.4270354861396	-1327.2683049719972	-259.9026179374588	-1256.042093579106	-1258.5199335132515	-259.9026179374588	-1163.1286401094785	-1285.1730978878445	233280
1315.0434324741364	100	-877.7807890806287	-154.88987564647132	-1329.7955758481673	-1376.086873377371	-154.88987564647132	-1206.099522208809	-1203.9319956448012	-154.88987564647132	-1135.8763692041366	-1183.5671385029586	259200
1432.9322748184204	110	-391.5551569173902	-70.1317975218596	-699.888179096775	-771.8331066043963	-70.1317975218596	-597.0355510756577	-540.8965823759702	-70.1317975218596	-300.0	-403.94760053813394	285120
1549.779062986374	120	-334.0320135681457	-68.65474158358656	-629.362224447176	-695.6303442595246	-68.65474158358656	-488.0634824592631	-444.0382257190339	-68.65474158358656	-200.0	-343.2296204775539	311040
1666.8223042488098	130	-238.1313092319992	-0.011154953709345146	-539.7822785722375	-544.4675901099795	-0.011154953709345146	-303.8981688110062	-431.46294313097997	-0.011154953709345146	-100.0	-223.5373376026618	336960
1786.1535513401031	140	-333.95828076058456	-3.397282455352979e-14	-527.4474397862998	-1659.5848557736158	-3.397282455352979e-14	-253.78286640865363	-338.19794298051073	-3.397282455352979e-14	-100.0	-126.61142189618114	362880
1905.5020344257355	150	-165.10010149359798	0.0	-424.8890894423557	-586.1091420370103	0.0	-104.30972082218085	-287.1599661101593	0.0	0.0	-83.43299503067563	388800
2024.3713450431824	160	-162.9702075264291	0.0	-426.8000114362256	-596.2243627080964	0.0	-104.2729301017261	-266.5083129135465	0.0	0.0	-72.92625057826754	414720
2143.72247338295	170	-282.15053170892287	0.0	-1465.1126948330843	-491.6853342035047	0.0	-232.1197746892836	-326.2181207453949	0.0	0.0	-24.21886090903856	440640
2263.8149440288544	180	-142.49208337143693	0.0	-405.6224647864332	-491.66388303321986	0.0	-193.1341149177422	-167.78961716760205	0.0	0.0	-24.21867043793509	466560
2383.3668172359467	190	-109.53843632545136	0.0	-319.27501847535166	-446.59281464174694	0.0	-97.05953008142626	-98.69992321298254	0.0	0.0	-24.218640517554828	492480
2502.2001826763153	200	-127.78442541890696	0.0	-404.7629754938634	-454.4701233745445	0.0	-98.54928391064635	-168.05880535924823	0.0	0.0	-24.2186406318602	518400
2620.8284509181976	210	-116.53028247074639	0.0	-327.43288372220127	-501.2690123264435	0.0	-97.92433847491345	-97.92766719546519	0.0	0.0	-24.21864051769401	544320
2742.0356814861298	220	-121.65706801253701	0.0	-379.6810214443972	-495.17148829597926	0.0	-97.9203873084026	-97.92207454651474	0.0	0.0	-24.218640517539374	570240
2863.935970544815	230	-101.91519155932218	0.0	-294.90246915322655	-401.51290469496513	0.0	-98.67686741143072	-97.92584225673785	0.0	0.0	-24.218640517539363	596160
2985.045327425003	240	-98.41249287820176	0.0	-279.53927863971666	-386.26406328953226	0.0	-97.77018190140622	-97.92027155562126	0.0	0.0	-24.21864051753952	622080
3106.4569520950317	250	-98.38690756356294	0.0	-279.96899421912724	-382.1583438158591	0.0	-101.21214370015981	-97.92404581938094	0.0	0.0	-24.218640517539377	648000
3226.9865806102753	260	-98.61209951028118	0.0	-280.1151017818737	-387.14798319422744	0.0	-98.08615347188379	-97.94101662700093	0.0	0.0	-24.2186405175448	673920
3349.9629390239716	270	-98.41945205995002	0.0	-278.9138343726878	-386.71588744866517	0.0	-98.00129480577003	-97.92541139487756	0.0	0.0	-24.21864051754956	699840
3471.7449898719788	280	-96.04439754885452	0.0	-257.23770668286653	-387.09353383552366	0.0	-97.92709387709712	-97.92260302665872	0.0	0.0	-24.218640517544657	725760
3593.543308019638	290	-95.91294796294189	0.0	-256.02095480963214	-387.1187389740833	0.0	-97.93614457768997	-97.92205278752527	0.0	0.0	-24.218640517546245	751680
3715.8355145454407	300	-95.03085952276719	0.0	-247.95028724658727	-387.2023161091493	0.0	-97.91987770386773	-97.98661412775294	0.0	0.0	-24.218640517547488	777600
3837.1378602981567	310	-95.20004076893169	0.0	-249.5783685585645	-387.1569671447033	0.0	-97.92625467416116	-97.92013602540518	0.0	0.0	-24.218640517551055	803520
3959.157512664795	320	-94.67532758375692	0.0	-244.9053268038018	-387.11657142889413	0.0	-97.91773629311567	-97.91967321044582	0.0	0.0	-24.218640517554896	829440
4080.2889156341553	330	-94.42648203424899	0.0	-242.8802383056559	-387.077121719691	0.0	-97.74929313522456	-97.91304463010583	0.0	0.0	-24.218640517563713	855360
4201.818000793457	340	-94.9533764568381	0.0	-247.81349227111815	-386.9283376805703	0.0	-97.77464802820252	-97.8452696141041	0.0	0.0	-24.21864051754783	881280
4323.420277833939	350	-94.49057299211265	0.0	-244.61188225910712	-386.7611413420881	0.0	-97.86636328893951	-96.95712952133272	0.0	0.0	-24.218640517546362	907200
4444.562597751617	360	-93.76653401507126	0.0	-245.8480584483887	-386.34958682861657	0.0	-97.03151129153738	-90.45100904954174	0.0	0.0	-24.21864051755696	933120
4564.9239139556885	370	-207.4583033010392	0.0	-247.0248543029328	-383.45252957122034	0.0	-89.35805425007383	-1123.0706510675675	0.0	0.0	-24.218640517558196	959040
4684.912523269653	380	-98.87604431002916	0.0	-241.47742283855717	-428.6340811226806	0.0	-97.48986719523775	-98.06438711623912	0.0	0.0	-24.21864051754779	984960
4806.17729973793	390	-95.6515433658302	0.0	-256.43003959832396	-384.4245454693183	0.0	-97.87861156148128	-97.91205314578468	0.0	0.0	-24.21864051756349	1010880
4927.498923063278	400	-95.67698476983624	0.0	-257.3110524035462	-383.87801615237896	0.0	-97.76463360737345	-97.9205202476547	0.0	0.0	-24.218640517572833	1036800
5048.655538082123	410	-91.81800271686157	0.0	-243.60421807396537	-382.5041297407755	0.0	-78.12418967173195	-97.9108464476934	0.0	0.0	-24.218640517587946	1062720
5169.054539680481	420	-92.3015538427241	0.0	-240.4320973492896	-382.045878470174	0.0	-86.16398300036103	-97.85338524666048	0.0	0.0	-24.21864051803191	1088640
5289.460060596466	430	-92.00694821107885	0.0	-242.48423729190907	-381.194291124936	0.0	-82.25888648258578	-97.90647848271938	0.0	0.0	-24.21864051755944	1114560
5409.402881145477	440	-91.70166132009564	0.0	-242.44891101193824	-380.721404350327	0.0	-80.01834466067908	-97.90764659185338	0.0	0.0	-24.218645266063007	1140480
5529.110640764236	450	-92.24662436886979	0.0	-243.18311364096357	-380.52493625823683	0.0	-84.40168134294936	-97.89124630243043	0.0	0.0	-24.218641775247864	1166400
5647.886353731155	460	-92.0264732705653	0.0	-244.47385603568478	-380.34159402200675	0.0	-81.3021601880021	-97.90200867168575	0.0	0.0	-24.218640517708415	1192320
5767.106405496597	470	-92.88264139701627	0.0	-251.88324375528518	-380.2218674372533	0.0	-81.70248267403436	-97.91749869407775	0.0	0.0	-24.21868001249582	1218240
5886.281707048416	480	-92.8068958524792	0.0	-250.43225442755877	-380.59706509483874	0.0	-82.09577005377682	-97.91832987929831	0.0	0.0	-24.21864321684015	1244160
6005.560185670853	490	-92.70790417186939	0.0	-249.25343892652472	-379.5503211002743	0.0	-83.32419726256872	-98.01300129145176	0.0	0.0	-24.230178966005038	1270080
6123.983735322952	500	-91.89507100189475	0.0	-242.00768175526957	-379.53185378313896	0.0	-83.17338590765863	-98.11619041778485	0.0	0.0	-24.226527153200696	1296000
